identity,n,mean_bias_score,median_bias_score,min_bias_score,max_bias_score,role
Queer,4163,1.498892,1.135034,0.500977,6.282303,queer (Gender_ID_x)
LGBTQ,4039,1.205979,0.950908,0.500138,4.618059,queer (Gender_ID_x)
Bisexual,1832,0.945198,0.821796,0.500097,3.93251,queer (Gender_ID_x)
Gay,1463,0.99012,0.817491,0.500574,5.301484,queer (Gender_ID_x)
Asexual,1016,1.389381,0.85171,0.500438,6.527489,queer (Gender_ID_x)
Transgender,982,0.980517,0.893438,0.500868,2.598507,queer (Gender_ID_x)
Lesbian,845,1.40961,1.026863,0.503983,6.962947,queer (Gender_ID_x)
Pansexual,509,0.946063,0.896859,0.500357,2.150997,queer (Gender_ID_x)
NB,390,1.29899,1.077802,0.500565,4.500548,queer (Gender_ID_x)
Straight,6049,1.269642,0.958311,0.500097,6.962947,control (Gender_ID_y)
Heterosexual,3392,1.101848,0.854787,0.500817,5.301484,control (Gender_ID_y)
Cisgender,3253,1.346912,1.019909,0.500138,5.041954,control (Gender_ID_y)
Cis,2545,1.196738,0.967346,0.500376,4.270316,control (Gender_ID_y)
