predicate_label_provisional,n,mean_bias_score,median_bias_score,min_bias_score,max_bias_score
SEXUAL_MORAL_THREAT,3412,1.18392,0.924161,0.500357,4.398376
GENERAL_NEGATIVE_STEREOTYPE,2285,1.248068,0.98515,0.500394,4.898025
INAUTHENTICITY_ILLEGITIMACY,1870,1.035778,0.843912,0.500438,3.93251
ABNORMALITY_DEVIANCE,1589,1.040375,0.969385,0.500876,2.628421
PATHOLOGIZING_MEDICALIZING,1430,1.804303,1.079545,0.500138,6.962947
UNCLEAR_OTHER,1380,1.582198,1.353118,0.500097,4.618059
IDENTITY_ASSOCIATION,1010,1.092028,0.967987,0.500565,4.604221
VIOLENCE_HARM,829,0.771509,0.717388,0.500837,2.070488
EXCLUSION_NONBELONGING,759,1.635695,1.130494,0.501898,5.041954
SOCIAL_PROFESSIONAL_INCOMPETENCE,675,0.912145,0.797866,0.500271,2.119905
